名称,アビリティ,効果値
◎瑠璃紺のピアス,●属性攻撃＋,20
◎瑠璃紺のピアス,斬属性攻撃＋,20
◎瑠璃紺のピアス,打属性攻撃＋,20
◎瑠璃紺のピアス,突属性攻撃＋,20
◎瑠璃紺のピアス,熱属性攻撃＋,20
◎瑠璃紺のピアス,冷属性攻撃＋,20
◎瑠璃紺のピアス,雷属性攻撃＋,20
◎瑠璃紺のピアス,陽属性攻撃＋,20
◎瑠璃紺のピアス,陰属性攻撃＋,20
◎濡羽のピアス,●属性攻撃＋,20
◎濡羽のピアス,斬属性攻撃＋,20
◎濡羽のピアス,打属性攻撃＋,20
◎濡羽のピアス,突属性攻撃＋,20
◎濡羽のピアス,熱属性攻撃＋,20
◎濡羽のピアス,冷属性攻撃＋,20
◎濡羽のピアス,雷属性攻撃＋,20
◎濡羽のピアス,陽属性攻撃＋,20
◎濡羽のピアス,陰属性攻撃＋,20
◎憲法のピアス,●属性攻撃＋,20
◎憲法のピアス,斬属性攻撃＋,20
◎憲法のピアス,打属性攻撃＋,20
◎憲法のピアス,突属性攻撃＋,20
◎憲法のピアス,熱属性攻撃＋,20
◎憲法のピアス,冷属性攻撃＋,20
◎憲法のピアス,雷属性攻撃＋,20
◎憲法のピアス,陽属性攻撃＋,20
◎憲法のピアス,陰属性攻撃＋,20
◎緋のピアス,●属性攻撃＋,20
◎緋のピアス,斬属性攻撃＋,20
◎緋のピアス,打属性攻撃＋,20
◎緋のピアス,突属性攻撃＋,20
◎緋のピアス,熱属性攻撃＋,20
◎緋のピアス,冷属性攻撃＋,20
◎緋のピアス,雷属性攻撃＋,20
◎緋のピアス,陽属性攻撃＋,20
◎緋のピアス,陰属性攻撃＋,20
☆ロイヤルブローチ,All SaGa＋,12
☆ロイヤルブローチ,ロイヤルフォース,2
☆虹瑠璃の腕輪,団結の絆,9
★斬結の指輪,斬結の紋章,48
★砕鎚の指輪,砕鎚の紋章,48
★鋭突の指輪,鋭突の紋章,48
★紅焔の指輪,紅焔の紋章,48
★蒼翼の耳飾り,蒼翼の紋章,48
★稲妻の指輪,雷鳴の紋章,48
★天翼のペンダント,陽の刻印,50
★邪眼のペンダント,突・陰の刻印,50
◇鈍化の指輪,鈍化の秘力,
◇輝きの雫,パワーチャージⅢ,
◇コッペパンスカーフ,マスパワーチャージ,
■英雄の証-ロックブーケ-,英雄の力,7
■英雄の証-ロックブーケ-,英雄の奮起,77
■英雄の証-ロックブーケ-,英雄の鼓舞,7
■永久氷晶,灰雪の加護,5
◆アストラルレリック,属性＋(●),20
◆アストラルレリック,属性＋(斬),20
◆アストラルレリック,属性＋(打),20
◆アストラルレリック,属性＋(突),20
◆アストラルレリック,属性＋(熱),20
◆アストラルレリック,属性＋(冷),20
◆アストラルレリック,属性＋(雷),20
◆アストラルレリック,属性＋(陽),20
◆アストラルレリック,属性＋(陰),20
◆アストラルレリック,詩人の刻印・三篇,25
◆カオスレリック,団結の証(●●),7
◆カオスレリック,団結の証(GBSaGa),7
◆カオスレリック,団結の証(RS1),7
◆カオスレリック,団結の証(RS2),7
◆カオスレリック,団結の証(RS3),7
◆カオスレリック,団結の証(SF1),7
◆カオスレリック,団結の証(SF2),7
◆カオスレリック,団結の証(US),7
◆カオスレリック,団結の証(ES＆IS),7
◆カオスレリック,団結の証(SSG),7
◆カオスレリック,団結の証(SaGaEB),7
◆カオスレリック,団結の証(SaGaRS),7
◆カオスレリック,詩人の刻印・二篇,25
◆ファンタズムレリック,武装共鳴(●●),7
◆ファンタズムレリック,武装共鳴(剣),7
◆ファンタズムレリック,武装共鳴(大剣),7
◆ファンタズムレリック,武装共鳴(斧),7
◆ファンタズムレリック,武装共鳴(棍棒),7
◆ファンタズムレリック,武装共鳴(体術),7
◆ファンタズムレリック,武装共鳴(銃),7
◆ファンタズムレリック,武装共鳴(小剣),7
◆ファンタズムレリック,武装共鳴(槍),7
◆ファンタズムレリック,武装共鳴(弓),7
◆ファンタズムレリック,武装共鳴(杖),7
◆ファンタズムレリック,詩人の刻印・一篇,25
◆ステライヤリング,種族特効＋(●●),20
◆ステライヤリング,種族特効＋(人間),20
◆ステライヤリング,種族特効＋(男性),20
◆ステライヤリング,種族特効＋(女性),20
◆ステライヤリング,種族特効＋(巨人),20
◆ステライヤリング,種族特効＋(メカ),20
◆ステライヤリング,種族特効＋(岩石),20
◆ステライヤリング,種族特効＋(獣人),20
◆ステライヤリング,種族特効＋(獣),20
◆ステライヤリング,種族特効＋(竜),20
◆ステライヤリング,種族特効＋(爬虫類),20
◆ステライヤリング,種族特効＋(植物),20
◆ステライヤリング,種族特効＋(虫),20
◆ステライヤリング,種族特効＋(水棲),20
◆ステライヤリング,種族特効＋(魚),20
◆ステライヤリング,種族特効＋(両棲類),20
◆ステライヤリング,種族特効＋(カエル),20
◆ステライヤリング,種族特効＋(不死),20
◆ステライヤリング,種族特効＋(骨),20
◆ステライヤリング,種族特効＋(悪魔),20
◆ステライヤリング,種族特効＋(火精),20
◆ステライヤリング,種族特効＋(水精),20
◆ステライヤリング,種族特効＋(風精),20
◆ステライヤリング,種族特効＋(土精),20
◆ステライヤリング,種族特効＋(鳥),20
◆ステライヤリング,種族特効＋(浮遊),20
◆ステライヤリング,種族特効＋(妖魔),20
◆赤光のブローチ,●●＋,15
◆赤光のブローチ,剣＋,15
◆赤光のブローチ,大剣＋,15
◆赤光のブローチ,斧＋,15
◆赤光のブローチ,棍棒＋,15
◆赤光のブローチ,体術＋,15
◆赤光のブローチ,銃＋,15
◆赤光のブローチ,小剣＋,15
◆赤光のブローチ,槍＋,15
◆赤光のブローチ,弓＋,15
◆赤光のブローチ,杖＋,15
◆赤光のブローチ,雲の刻印,18
