名称,斬,打,突,熱,冷,雷,陽,陰,毒,暗闇,スタン,マヒ,眠り,石化,混乱,魅了,狂戦士,気絶,腕力,体力,器用さ,素早さ,知力,精神,愛,魅力,所持数
◆ステラ・刻印・特殊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2,4,4,4,0,0,0,5
◎憲法のピアス,35,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,5
◎濡羽のピアス,0,0,35,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,5
◎緋のピアス,0,0,0,35,0,0,0,0,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,5
◎瑠璃紺のピアス,0,35,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,5
☆ロイヤルブローチ,0,0,0,15,15,15,15,15,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,5
☆虹瑠璃の腕輪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2,4,4,4,0,0,0,5
★稲妻の指輪,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,-2,4,4,4,0,0,0,5
★邪眼のペンダント,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,5,0,0,0,1
★蒼翼の耳飾り,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2,4,4,4,0,0,0,5
★天翼のペンダント,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,5,0,5,5,5,0,0,0,1
