名称,アビリティ1,アビリティ2,アビリティ3
◆英傑の足甲({作品}),攻勢の刻印({作品}),守護の縁({作品}),攻勢の縁・弐({作品})
◆英傑の足甲({作品1}＆{作品2}),攻勢の刻印({作品1}＆{作品2}),守護の縁({作品1}＆{作品2}),攻勢の縁・弐({作品1}＆{作品2})
○禍ツ盾・アビススクトゥム,禍ツ妖光・護,禍ツ妖光・攻,禍ツ妖光・気
◇メルティハートハット,ブロックチョコレート,,
◇クリーミーリボンドレス,エクストラチョコレート,,
◇スウィートローズヒール,リヴァイヴァチョコレート,,
◇ハイビスカスの麦わら帽,クリティカルサマー,エクストラサマー,
◇アサガオのパレオ,晴天下の輝き,晴天下の煌めき,
◇日輪草のサンダル,アツアツ砂浜対策,炎天の代償,波打ち際の思い出
●ロトのたて,ロトの守り,勇者の盾,歴戦の盾
■力秘めし神楽鈴,唯一天授・参,御霊憑き・弐,強大な力の奔流
※エルメスのくつ[SSS],堅牢の刻印,俊足の刻印・肆,
※クイックシルバー[SSS],能力+Ⅱ(速),,
※げんじのこて[SSS],堅牢の刻印,ロバストガードⅠ(技),金剛の纏い
※ゾクのはちまき[SSS],堅牢の刻印,歴戦の銘印(GBSaGa),
※マスタリーグラブ[SSS],武装の心得(小剣),,
※佐賀県Tシャツ[SSS],旅の余韻,,
※水波のドレス[SSS],堅牢の刻印,冷厳の結晶,
※聖王マント[SSS],堅牢の刻印,パワーチャージⅢ,秘められし力(全)
※竹崎カニメット[SSS],竹崎カニパワー,,
※鳳炎のケープ[SSS],堅牢の刻印,灼熱の宝玉,
